lambda_um,width_um,height_um,n_eff_TE,n_eff_TM
0.75,0.8,0.65,1.93042144724895,1.92550872656748
0.75,0.8,0.675,1.93351205146742,1.92968821662009
0.75,0.8,0.7,1.93635662479629,1.93347479577672
0.75,0.8,0.725,1.93895389471822,1.93692850263346
0.75,0.8,0.75,1.94135585958376,1.94007529860569
0.75,0.8,0.775,1.94356805199376,1.942959834736
0.75,0.8,0.8,1.9456348124875,1.94558491328044
0.75,0.8,0.825,1.94750498641553,1.94804524063172
0.75,0.8,0.85,1.94926665747709,1.95029195257487
0.75,0.8,0.875,1.95090972970377,1.95237142437691
0.75,0.8,0.9,1.95244993331489,1.95430298020326
0.75,0.8,0.925,1.95390423780132,1.95610590280119
0.75,0.8,0.95,1.95529328075469,1.95780088393206
0.75,0.8,0.975,1.95664552428355,1.95941284177558
0.75,0.8,1,1.95800572124111,1.96097661425116
0.75,0.825,0.6,1.92575605056385,1.91768654082551
0.75,0.825,0.625,1.92945681198123,1.92278235947649
0.75,0.825,0.65,1.9328660518522,1.92740487420313
0.75,0.825,0.675,1.93594523218812,1.93156666783311
0.75,0.825,0.7,1.93879699668349,1.93536577835554
0.75,0.825,0.725,1.9413842729068,1.93880430624855
0.75,0.825,0.75,1.94379231237819,1.94196187868733
0.75,0.825,0.775,1.94600232771789,1.94484471976579
0.75,0.825,0.8,1.94804546050308,1.94748976942751
0.75,0.825,0.825,1.94995363114247,1.94990862595258
0.75,0.825,0.85,1.95169624881429,1.95217105913732
0.75,0.825,0.875,1.95333802850464,1.95424858014741
0.75,0.825,0.9,1.95487668085873,1.95617845809776
0.75,0.825,0.925,1.95632928663666,1.95797975266421
0.75,0.825,0.95,1.95771639446931,1.95967306579401
0.75,0.825,0.975,1.95906626839426,1.96128320577964
0.75,0.825,1,1.96042326719537,1.96284481981895
0.75,0.85,0.6,1.9280150736558,1.91946196537089
0.75,0.85,0.625,1.93172307384421,1.92457332522937
0.75,0.85,0.65,1.93511916402726,1.92917509270236
0.75,0.85,0.675,1.93820448030828,1.93334993427175
0.75,0.85,0.7,1.9410448212126,1.9371313428821
0.75,0.85,0.725,1.94363736262736,1.9405810618529
0.75,0.85,0.75,1.94603543637194,1.94372337329567
0.75,0.85,0.775,1.9482432099229,1.94660439363862
0.75,0.85,0.8,1.95028400905836,1.94924794896227
0.75,0.85,0.825,1.95217557382294,1.95167978343447
0.75,0.85,0.85,1.95394939705556,1.95390754138556
0.75,0.85,0.875,1.95557087899932,1.95600199450962
0.75,0.85,0.9,1.95710801314311,1.95793005378984
0.75,0.85,0.925,1.9585587898596,1.95972975758105
0.75,0.85,0.95,1.95994383367399,1.96142145478035
0.75,0.85,0.975,1.96129124161243,1.9630298176828
0.75,0.85,1,1.96264499904065,1.96458929509252
0.75,0.875,0.6,1.93009888065588,1.92110069155491
0.75,0.875,0.625,1.9337952614753,1.9261931482739
0.75,0.875,0.65,1.93719895863897,1.93080859937166
0.75,0.875,0.675,1.94027415386963,1.93496740758018
0.75,0.875,0.7,1.94312097787686,1.93876026110738
0.75,0.875,0.725,1.94570468652403,1.94219623274354
0.75,0.875,0.75,1.94810832217969,1.94534831242809
0.75,0.875,0.775,1.95031452871436,1.94822753948418
0.75,0.875,0.8,1.95235378557468,1.95086946926207
0.75,0.875,0.825,1.95424363364082,1.95330001605278
0.75,0.875,0.85,1.95600030074658,1.95554205415916
0.75,0.875,0.875,1.95764824830183,1.95760724866588
0.75,0.875,0.9,1.95917218334606,1.95954573363474
0.75,0.875,0.925,1.96062177298939,1.96134377603328
0.75,0.875,0.95,1.96200524298237,1.96303397224151
0.75,0.875,0.975,1.96335068676783,1.96464073716977
0.75,0.875,1,1.96470178531708,1.96619832728396
0.75,0.9,0.6,1.93203030410276,1.92263660831215
0.75,0.9,0.625,1.93573311045921,1.92774317072965
0.75,0.9,0.65,1.9391250221224,1.93233975946183
0.75,0.9,0.675,1.9422056945094,1.9365104082394
0.75,0.9,0.7,1.94504228432229,1.94028720521424
0.75,0.9,0.725,1.94763071539337,1.94373332345249
0.75,0.9,0.75,1.95002544128031,1.94687157190568
0.75,0.9,0.775,1.95222970076177,1.94974911903289
0.75,0.9,0.8,1.95426710961925,1.95238948665347
0.75,0.9,0.825,1.95615516706496,1.95481859977248
0.75,0.9,0.85,1.95790994087638,1.95705945600514
0.75,0.9,0.875,1.95954683109649,1.95913273497765
0.75,0.9,0.9,1.96108946347019,1.96104958785964
0.75,0.9,0.925,1.96252644500372,1.96285724732005
0.75,0.9,0.95,1.96390839456442,1.96454576775202
0.75,0.9,0.975,1.96525177772785,1.96615093824768
0.75,0.9,1,1.96660013451883,1.96770667887545
0.75,0.925,0.6,1.93381739455587,1.92405833083571
0.75,0.925,0.625,1.93750981224068,1.92914765018024
0.75,0.925,0.65,1.94090862952681,1.93375683451929
0.75,0.925,0.675,1.94398025489617,1.93791288827502
